regiao;tipo_estabelecimento;ano;resultado;n_conformidades;tempo_resolucao;tipo_conformidade;gravidade_conformidade;tamanho_estabelecimento;numero_fiscalizacoes_previas;tipo_acao_corretiva;status_acao_corretiva;categoria_produtos;licenca_valida;dias_desde_ultima_fiscalizacao;inspecao_planejada;fiscal_responsavel
Sul;Farmácia;2019;Conforme;6;274;Boas Práticas de Fabricação;Média;Médio;0;Melhoria de Infraestrutura;Concluída;Medicamentos;Não;99;Planejada;1006
Centro-Oeste;Indústria de Saneantes;2023;Não Conforme;8;12;Boas Práticas de Fabricação;Alta;Pequeno;4;Reformulação de Produtos;Em Progresso;Alimentos;Sim;452;Não Planejada;1005
Nordeste;Hospital;2020;Conforme;3;310;Condições Sanitárias;Baixa;Pequeno;1;Requalificação de Pessoal;Pendente;Alimentos;Sim;595;Planejada;1040
Nordeste;Farmácia;2022;Não Conforme;6;219;Registro de Produtos;Média;Médio;1;Reformulação de Produtos;Em Progresso;Cosméticos;Não;24;Não Planejada;1079
Norte;Clínica;2019;Não Conforme;4;1;Boas Práticas de Fabricação;Média;Médio;2;Adequação de Processo;Em Progresso;Medicamentos;Não;417;Não Planejada;1011
Nordeste;Clínica;2022;Não Conforme;4;111;Boas Práticas de Fabricação;Média;Médio;1;Adequação de Processo;Concluída;Medicamentos;Não;353;Planejada;1072
Centro-Oeste;Clínica;2018;Conforme;2;277;Armazenamento;Média;Médio;4;Adequação de Processo;Concluída;Medicamentos;Sim;73;Não Planejada;1039
Nordeste;Indústria de Cosméticos;2021;Conforme;8;129;Armazenamento;Baixa;Pequeno;3;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;695;Não Planejada;1068
Sul;Hospital;2019;Conforme;9;93;Armazenamento;Baixa;Médio;1;Reformulação de Produtos;Em Progresso;Saneantes;Não;515;Não Planejada;1057
Norte;Indústria de Cosméticos;2020;Não Conforme;4;39;Condições Sanitárias;Alta;Grande;0;Requalificação de Pessoal;Em Progresso;Medicamentos;Sim;30;Planejada;1002
Centro-Oeste;Indústria de Saneantes;2018;Não Conforme;5;316;Boas Práticas de Fabricação;Baixa;Médio;4;Reformulação de Produtos;Pendente;Medicamentos;Não;658;Não Planejada;1099
Norte;Hospital;2018;Não Conforme;2;159;Armazenamento;Baixa;Pequeno;3;Reformulação de Produtos;Em Progresso;Saneantes;Sim;450;Não Planejada;1042
Centro-Oeste;Farmácia;2022;Conforme;9;186;Armazenamento;Média;Grande;3;Reformulação de Produtos;Pendente;Alimentos;Não;480;Não Planejada;1073
Sul;Indústria de Cosméticos;2018;Não Conforme;6;353;Rotulagem;Alta;Grande;4;Adequação de Processo;Concluída;Cosméticos;Sim;457;Planejada;1007
Norte;Indústria de Cosméticos;2019;Conforme;8;256;Rotulagem;Alta;Grande;3;Adequação de Processo;Concluída;Medicamentos;Sim;724;Planejada;1072
Sudeste;Indústria de Saneantes;2022;Conforme;8;239;Armazenamento;Média;Pequeno;0;Reformulação de Produtos;Em Progresso;Saneantes;Sim;27;Planejada;1012
Centro-Oeste;Indústria de Cosméticos;2018;Conforme;9;104;Condições Sanitárias;Alta;Médio;1;Adequação de Processo;Concluída;Medicamentos;Sim;356;Não Planejada;1055
Sudeste;Laboratório;2020;Conforme;9;29;Registro de Produtos;Baixa;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;617;Não Planejada;1018
Norte;Farmácia;2023;Conforme;4;89;Rotulagem;Alta;Pequeno;1;Adequação de Processo;Pendente;Saneantes;Não;622;Não Planejada;1022
Sudeste;Clínica;2019;Conforme;6;51;Rotulagem;Média;Grande;1;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;19;Planejada;1042
Sudeste;Farmácia;2020;Conforme;2;364;Boas Práticas de Fabricação;Alta;Grande;3;Melhoria de Infraestrutura;Concluída;Saneantes;Não;528;Planejada;1023
Norte;Laboratório;2020;Conforme;5;147;Boas Práticas de Fabricação;Alta;Pequeno;4;Reformulação de Produtos;Em Progresso;Medicamentos;Sim;270;Não Planejada;1002
Sul;Indústria de Saneantes;2022;Não Conforme;7;314;Armazenamento;Alta;Grande;1;Reformulação de Produtos;Concluída;Alimentos;Não;559;Planejada;1096
Sudeste;Indústria de Saneantes;2021;Conforme;7;36;Boas Práticas de Fabricação;Média;Pequeno;2;Adequação de Processo;Pendente;Cosméticos;Não;146;Não Planejada;1086
Sudeste;Hospital;2022;Conforme;1;284;Boas Práticas de Fabricação;Baixa;Grande;0;Requalificação de Pessoal;Concluída;Saneantes;Não;668;Planejada;1013
Sul;Farmácia;2019;Não Conforme;5;101;Registro de Produtos;Alta;Médio;3;Reformulação de Produtos;Concluída;Medicamentos;Sim;542;Planejada;1082
Sudeste;Indústria de Saneantes;2019;Não Conforme;6;107;Condições Sanitárias;Baixa;Médio;4;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;617;Não Planejada;1032
Sudeste;Indústria de Cosméticos;2022;Não Conforme;6;345;Armazenamento;Baixa;Médio;4;Melhoria de Infraestrutura;Concluída;Saneantes;Não;149;Não Planejada;1086
Sudeste;Indústria de Saneantes;2021;Não Conforme;2;291;Registro de Produtos;Baixa;Grande;3;Adequação de Processo;Concluída;Medicamentos;Sim;560;Não Planejada;1026
Nordeste;Indústria de Saneantes;2022;Conforme;8;349;Armazenamento;Alta;Grande;1;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;183;Planejada;1011
Sul;Indústria de Saneantes;2019;Não Conforme;1;105;Condições Sanitárias;Baixa;Médio;3;Reformulação de Produtos;Em Progresso;Cosméticos;Não;670;Planejada;1045
Sudeste;Indústria de Saneantes;2021;Não Conforme;2;221;Armazenamento;Alta;Pequeno;4;Adequação de Processo;Pendente;Saneantes;Sim;42;Planejada;1070
Sul;Clínica;2019;Não Conforme;1;76;Boas Práticas de Fabricação;Alta;Pequeno;2;Adequação de Processo;Em Progresso;Medicamentos;Sim;165;Planejada;1099
Centro-Oeste;Clínica;2021;Não Conforme;8;227;Condições Sanitárias;Alta;Médio;1;Requalificação de Pessoal;Pendente;Cosméticos;Sim;686;Planejada;1045
Centro-Oeste;Hospital;2021;Conforme;3;84;Registro de Produtos;Baixa;Grande;3;Adequação de Processo;Em Progresso;Alimentos;Sim;94;Planejada;1081
Sudeste;Indústria de Saneantes;2022;Não Conforme;1;76;Registro de Produtos;Alta;Pequeno;4;Requalificação de Pessoal;Pendente;Alimentos;Não;214;Não Planejada;1015
Sul;Farmácia;2022;Não Conforme;2;249;Rotulagem;Média;Pequeno;4;Reformulação de Produtos;Pendente;Cosméticos;Não;188;Planejada;1057
Sul;Laboratório;2022;Não Conforme;3;255;Registro de Produtos;Média;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;88;Planejada;1013
Sul;Hospital;2021;Não Conforme;9;50;Rotulagem;Média;Grande;2;Reformulação de Produtos;Em Progresso;Saneantes;Não;458;Planejada;1084
Nordeste;Farmácia;2021;Conforme;5;356;Boas Práticas de Fabricação;Alta;Pequeno;1;Adequação de Processo;Pendente;Saneantes;Não;472;Planejada;1042
Centro-Oeste;Indústria de Saneantes;2019;Não Conforme;4;210;Registro de Produtos;Média;Pequeno;3;Requalificação de Pessoal;Concluída;Cosméticos;Sim;54;Planejada;1090
Sul;Distribuidora;2020;Não Conforme;2;158;Condições Sanitárias;Alta;Médio;1;Melhoria de Infraestrutura;Pendente;Saneantes;Não;372;Não Planejada;1024
Sul;Indústria de Saneantes;2022;Não Conforme;9;328;Rotulagem;Alta;Grande;4;Adequação de Processo;Concluída;Saneantes;Não;656;Planejada;1014
Nordeste;Clínica;2023;Conforme;7;233;Registro de Produtos;Alta;Médio;2;Reformulação de Produtos;Pendente;Alimentos;Sim;517;Não Planejada;1073
Nordeste;Laboratório;2019;Não Conforme;7;77;Boas Práticas de Fabricação;Baixa;Pequeno;2;Adequação de Processo;Concluída;Medicamentos;Não;365;Não Planejada;1029
Sul;Indústria de Cosméticos;2019;Não Conforme;6;223;Condições Sanitárias;Média;Grande;4;Requalificação de Pessoal;Em Progresso;Alimentos;Sim;37;Planejada;1043
Norte;Laboratório;2018;Conforme;2;121;Condições Sanitárias;Alta;Grande;1;Reformulação de Produtos;Em Progresso;Cosméticos;Não;119;Planejada;1008
Sul;Indústria de Cosméticos;2022;Não Conforme;0;310;Boas Práticas de Fabricação;Média;Médio;1;Adequação de Processo;Concluída;Alimentos;Não;409;Não Planejada;1091
Sul;Laboratório;2019;Conforme;4;327;Registro de Produtos;Média;Médio;2;Requalificação de Pessoal;Concluída;Medicamentos;Sim;363;Planejada;1081
Nordeste;Clínica;2018;Conforme;0;341;Armazenamento;Baixa;Grande;0;Adequação de Processo;Concluída;Alimentos;Não;369;Planejada;1010
Nordeste;Indústria de Cosméticos;2023;Não Conforme;5;358;Registro de Produtos;Média;Grande;2;Requalificação de Pessoal;Concluída;Saneantes;Sim;153;Planejada;1065
Sul;Farmácia;2023;Não Conforme;6;107;Rotulagem;Alta;Médio;2;Adequação de Processo;Em Progresso;Medicamentos;Sim;323;Planejada;1021
Sul;Indústria de Cosméticos;2022;Conforme;4;241;Rotulagem;Alta;Pequeno;3;Reformulação de Produtos;Pendente;Cosméticos;Sim;294;Planejada;1086
Sul;Hospital;2021;Conforme;3;28;Registro de Produtos;Média;Grande;2;Reformulação de Produtos;Em Progresso;Alimentos;Não;480;Não Planejada;1019
Nordeste;Farmácia;2018;Não Conforme;1;192;Rotulagem;Média;Pequeno;0;Reformulação de Produtos;Pendente;Alimentos;Não;724;Não Planejada;1028
Sul;Hospital;2021;Conforme;4;249;Armazenamento;Baixa;Médio;2;Reformulação de Produtos;Em Progresso;Saneantes;Sim;478;Não Planejada;1089
Sul;Indústria de Saneantes;2023;Conforme;8;364;Armazenamento;Alta;Grande;1;Reformulação de Produtos;Concluída;Medicamentos;Sim;448;Não Planejada;1062
Sudeste;Laboratório;2023;Não Conforme;3;213;Condições Sanitárias;Média;Médio;3;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;130;Não Planejada;1040
Norte;Farmácia;2020;Conforme;1;21;Rotulagem;Média;Grande;3;Adequação de Processo;Em Progresso;Alimentos;Não;704;Planejada;1075
Centro-Oeste;Laboratório;2020;Conforme;5;155;Registro de Produtos;Alta;Grande;2;Reformulação de Produtos;Concluída;Alimentos;Sim;709;Planejada;1092
Norte;Indústria de Saneantes;2020;Conforme;7;27;Condições Sanitárias;Média;Médio;3;Melhoria de Infraestrutura;Concluída;Medicamentos;Não;660;Planejada;1082
Sudeste;Distribuidora;2020;Conforme;1;77;Armazenamento;Baixa;Médio;3;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;342;Não Planejada;1097
Centro-Oeste;Laboratório;2019;Conforme;8;306;Condições Sanitárias;Média;Pequeno;2;Adequação de Processo;Em Progresso;Medicamentos;Não;267;Planejada;1047
Sul;Indústria de Saneantes;2020;Conforme;6;57;Boas Práticas de Fabricação;Média;Médio;0;Requalificação de Pessoal;Pendente;Cosméticos;Não;338;Planejada;1026
Sudeste;Laboratório;2019;Não Conforme;1;119;Rotulagem;Baixa;Médio;2;Adequação de Processo;Pendente;Alimentos;Não;475;Não Planejada;1093
Sul;Indústria de Saneantes;2019;Conforme;4;165;Registro de Produtos;Baixa;Pequeno;1;Adequação de Processo;Em Progresso;Medicamentos;Não;415;Não Planejada;1030
Nordeste;Hospital;2022;Não Conforme;4;64;Armazenamento;Baixa;Médio;4;Requalificação de Pessoal;Pendente;Medicamentos;Não;291;Não Planejada;1091
Sudeste;Indústria de Saneantes;2019;Não Conforme;6;48;Condições Sanitárias;Alta;Pequeno;0;Requalificação de Pessoal;Concluída;Saneantes;Não;172;Planejada;1024
Nordeste;Indústria de Cosméticos;2019;Não Conforme;4;150;Registro de Produtos;Média;Pequeno;2;Reformulação de Produtos;Em Progresso;Alimentos;Sim;439;Não Planejada;1048
Sudeste;Distribuidora;2020;Não Conforme;5;158;Rotulagem;Média;Médio;0;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;301;Não Planejada;1069
Sudeste;Laboratório;2019;Não Conforme;8;156;Registro de Produtos;Baixa;Pequeno;4;Requalificação de Pessoal;Pendente;Medicamentos;Sim;149;Não Planejada;1063
Nordeste;Indústria de Saneantes;2021;Não Conforme;2;151;Rotulagem;Alta;Pequeno;3;Adequação de Processo;Em Progresso;Cosméticos;Não;660;Planejada;1055
Centro-Oeste;Indústria de Saneantes;2020;Não Conforme;2;225;Rotulagem;Baixa;Pequeno;3;Adequação de Processo;Em Progresso;Cosméticos;Não;265;Não Planejada;1006
Norte;Laboratório;2018;Não Conforme;7;260;Rotulagem;Média;Médio;4;Adequação de Processo;Concluída;Alimentos;Não;95;Não Planejada;1069
Sul;Distribuidora;2020;Conforme;9;256;Condições Sanitárias;Alta;Médio;3;Requalificação de Pessoal;Em Progresso;Cosméticos;Sim;698;Não Planejada;1034
Sudeste;Distribuidora;2019;Não Conforme;5;61;Rotulagem;Alta;Pequeno;0;Melhoria de Infraestrutura;Pendente;Alimentos;Não;417;Não Planejada;1088
Sul;Indústria de Saneantes;2021;Não Conforme;9;352;Registro de Produtos;Média;Médio;3;Reformulação de Produtos;Concluída;Alimentos;Sim;257;Não Planejada;1020
Nordeste;Farmácia;2020;Não Conforme;2;260;Boas Práticas de Fabricação;Alta;Grande;4;Adequação de Processo;Pendente;Medicamentos;Sim;723;Não Planejada;1046
Sul;Hospital;2021;Conforme;1;321;Registro de Produtos;Alta;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;515;Planejada;1059
Nordeste;Distribuidora;2018;Não Conforme;1;162;Condições Sanitárias;Baixa;Grande;4;Reformulação de Produtos;Pendente;Medicamentos;Não;679;Planejada;1016
Sul;Distribuidora;2023;Conforme;1;349;Rotulagem;Alta;Médio;1;Adequação de Processo;Pendente;Saneantes;Sim;350;Não Planejada;1089
Norte;Clínica;2018;Não Conforme;4;31;Boas Práticas de Fabricação;Baixa;Grande;0;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;205;Planejada;1016
Norte;Indústria de Cosméticos;2023;Não Conforme;4;71;Condições Sanitárias;Alta;Médio;4;Reformulação de Produtos;Em Progresso;Alimentos;Não;690;Planejada;1070
Norte;Distribuidora;2022;Conforme;0;2;Armazenamento;Baixa;Médio;0;Adequação de Processo;Concluída;Medicamentos;Sim;344;Planejada;1024
Norte;Hospital;2023;Não Conforme;1;50;Armazenamento;Baixa;Pequeno;1;Adequação de Processo;Em Progresso;Saneantes;Sim;465;Não Planejada;1033
Norte;Indústria de Cosméticos;2022;Conforme;1;135;Armazenamento;Alta;Grande;0;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;539;Não Planejada;1025
Norte;Indústria de Cosméticos;2020;Conforme;3;146;Boas Práticas de Fabricação;Baixa;Pequeno;2;Requalificação de Pessoal;Em Progresso;Cosméticos;Não;29;Planejada;1005
Nordeste;Laboratório;2022;Não Conforme;6;179;Registro de Produtos;Média;Grande;1;Requalificação de Pessoal;Concluída;Alimentos;Não;639;Planejada;1009
Sudeste;Laboratório;2021;Não Conforme;2;264;Boas Práticas de Fabricação;Média;Médio;1;Adequação de Processo;Em Progresso;Cosméticos;Não;376;Planejada;1080
Sul;Laboratório;2022;Conforme;4;311;Boas Práticas de Fabricação;Alta;Médio;3;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;105;Planejada;1077
Norte;Laboratório;2021;Conforme;8;204;Boas Práticas de Fabricação;Alta;Pequeno;4;Requalificação de Pessoal;Pendente;Saneantes;Sim;334;Não Planejada;1002
Nordeste;Clínica;2023;Não Conforme;4;299;Armazenamento;Alta;Grande;1;Requalificação de Pessoal;Concluída;Cosméticos;Não;69;Planejada;1058
Nordeste;Distribuidora;2023;Não Conforme;8;187;Registro de Produtos;Média;Grande;0;Requalificação de Pessoal;Pendente;Medicamentos;Não;107;Não Planejada;1079
Nordeste;Laboratório;2023;Não Conforme;0;30;Boas Práticas de Fabricação;Alta;Médio;2;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;692;Planejada;1068
Sudeste;Indústria de Saneantes;2022;Conforme;8;59;Registro de Produtos;Alta;Pequeno;0;Melhoria de Infraestrutura;Pendente;Cosméticos;Sim;102;Não Planejada;1047
Sul;Farmácia;2023;Não Conforme;4;9;Rotulagem;Baixa;Médio;0;Reformulação de Produtos;Em Progresso;Cosméticos;Não;262;Não Planejada;1022
Sudeste;Laboratório;2022;Conforme;7;324;Boas Práticas de Fabricação;Alta;Médio;2;Requalificação de Pessoal;Pendente;Alimentos;Sim;664;Não Planejada;1090
Centro-Oeste;Distribuidora;2022;Não Conforme;4;167;Boas Práticas de Fabricação;Média;Pequeno;3;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;552;Não Planejada;1004
Nordeste;Laboratório;2019;Conforme;5;337;Boas Práticas de Fabricação;Média;Grande;4;Reformulação de Produtos;Pendente;Cosméticos;Não;289;Não Planejada;1055
Centro-Oeste;Clínica;2019;Conforme;7;279;Rotulagem;Alta;Grande;1;Adequação de Processo;Em Progresso;Alimentos;Não;137;Não Planejada;1037
Norte;Hospital;2022;Não Conforme;1;191;Rotulagem;Média;Médio;4;Reformulação de Produtos;Pendente;Medicamentos;Sim;490;Não Planejada;1081
Norte;Hospital;2021;Conforme;2;242;Armazenamento;Baixa;Grande;3;Requalificação de Pessoal;Concluída;Medicamentos;Sim;689;Planejada;1075
Sudeste;Distribuidora;2020;Conforme;8;278;Condições Sanitárias;Baixa;Pequeno;2;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;67;Não Planejada;1084
Sul;Indústria de Saneantes;2018;Conforme;4;154;Registro de Produtos;Alta;Grande;4;Requalificação de Pessoal;Em Progresso;Saneantes;Não;151;Planejada;1006
Centro-Oeste;Hospital;2019;Conforme;4;160;Condições Sanitárias;Alta;Grande;0;Requalificação de Pessoal;Pendente;Medicamentos;Não;278;Planejada;1016
Sul;Hospital;2022;Conforme;8;265;Boas Práticas de Fabricação;Baixa;Médio;1;Adequação de Processo;Concluída;Medicamentos;Sim;212;Planejada;1008
Sudeste;Farmácia;2018;Não Conforme;9;235;Boas Práticas de Fabricação;Baixa;Grande;1;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;350;Planejada;1087
Norte;Distribuidora;2019;Não Conforme;2;346;Armazenamento;Alta;Pequeno;3;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;628;Planejada;1074
Sul;Indústria de Saneantes;2020;Conforme;3;199;Condições Sanitárias;Média;Médio;3;Adequação de Processo;Concluída;Medicamentos;Não;648;Planejada;1088
Sul;Distribuidora;2021;Não Conforme;6;33;Boas Práticas de Fabricação;Alta;Pequeno;2;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;147;Planejada;1045
Norte;Hospital;2022;Conforme;1;89;Condições Sanitárias;Alta;Grande;3;Reformulação de Produtos;Concluída;Saneantes;Não;365;Não Planejada;1036
Centro-Oeste;Hospital;2020;Conforme;7;95;Armazenamento;Alta;Grande;4;Requalificação de Pessoal;Em Progresso;Alimentos;Não;678;Planejada;1006
Norte;Hospital;2019;Não Conforme;4;221;Condições Sanitárias;Alta;Médio;1;Adequação de Processo;Pendente;Saneantes;Não;228;Planejada;1016
Sul;Indústria de Cosméticos;2022;Conforme;0;69;Registro de Produtos;Alta;Pequeno;2;Adequação de Processo;Pendente;Cosméticos;Sim;646;Planejada;1040
Centro-Oeste;Clínica;2018;Conforme;2;294;Armazenamento;Alta;Grande;3;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;692;Planejada;1063
Centro-Oeste;Laboratório;2023;Conforme;8;237;Condições Sanitárias;Alta;Grande;0;Adequação de Processo;Em Progresso;Cosméticos;Sim;290;Planejada;1082
Norte;Clínica;2021;Não Conforme;4;160;Boas Práticas de Fabricação;Média;Médio;1;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;330;Planejada;1056
Sul;Distribuidora;2019;Não Conforme;7;320;Rotulagem;Alta;Grande;2;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;395;Não Planejada;1084
Sudeste;Farmácia;2021;Conforme;0;328;Rotulagem;Baixa;Grande;1;Requalificação de Pessoal;Concluída;Saneantes;Sim;555;Planejada;1044
Sul;Laboratório;2022;Conforme;6;276;Armazenamento;Alta;Grande;4;Adequação de Processo;Em Progresso;Saneantes;Não;139;Planejada;1072
Nordeste;Farmácia;2023;Conforme;6;290;Rotulagem;Média;Pequeno;3;Reformulação de Produtos;Em Progresso;Alimentos;Não;424;Planejada;1007
Sudeste;Indústria de Saneantes;2020;Conforme;7;42;Registro de Produtos;Baixa;Pequeno;3;Requalificação de Pessoal;Em Progresso;Alimentos;Não;253;Planejada;1090
Centro-Oeste;Indústria de Cosméticos;2021;Conforme;2;66;Armazenamento;Alta;Pequeno;3;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;416;Planejada;1086
Sudeste;Distribuidora;2018;Não Conforme;0;21;Boas Práticas de Fabricação;Alta;Grande;0;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;507;Não Planejada;1009
Centro-Oeste;Indústria de Cosméticos;2019;Não Conforme;8;335;Boas Práticas de Fabricação;Baixa;Médio;4;Melhoria de Infraestrutura;Concluída;Saneantes;Sim;346;Planejada;1053
Centro-Oeste;Distribuidora;2018;Não Conforme;0;70;Armazenamento;Alta;Médio;0;Reformulação de Produtos;Em Progresso;Medicamentos;Sim;697;Planejada;1065
Sudeste;Farmácia;2021;Não Conforme;5;261;Rotulagem;Média;Médio;4;Melhoria de Infraestrutura;Concluída;Saneantes;Não;577;Não Planejada;1043
Centro-Oeste;Farmácia;2023;Conforme;8;246;Rotulagem;Alta;Pequeno;4;Requalificação de Pessoal;Em Progresso;Cosméticos;Não;180;Planejada;1047
Centro-Oeste;Farmácia;2020;Conforme;1;323;Boas Práticas de Fabricação;Média;Pequeno;4;Requalificação de Pessoal;Em Progresso;Medicamentos;Não;214;Não Planejada;1070
Nordeste;Distribuidora;2020;Não Conforme;3;235;Registro de Produtos;Alta;Pequeno;3;Requalificação de Pessoal;Pendente;Alimentos;Sim;438;Não Planejada;1001
Sul;Hospital;2018;Não Conforme;1;272;Rotulagem;Baixa;Pequeno;3;Melhoria de Infraestrutura;Concluída;Cosméticos;Sim;480;Não Planejada;1079
Sul;Farmácia;2022;Conforme;3;99;Registro de Produtos;Média;Grande;3;Reformulação de Produtos;Pendente;Medicamentos;Não;153;Planejada;1005
Nordeste;Indústria de Cosméticos;2022;Não Conforme;1;329;Rotulagem;Alta;Médio;0;Reformulação de Produtos;Pendente;Cosméticos;Não;413;Planejada;1079
Sudeste;Indústria de Saneantes;2023;Conforme;0;35;Armazenamento;Alta;Médio;2;Melhoria de Infraestrutura;Concluída;Saneantes;Não;123;Não Planejada;1088
Norte;Laboratório;2020;Conforme;2;339;Condições Sanitárias;Baixa;Pequeno;4;Adequação de Processo;Concluída;Medicamentos;Não;606;Não Planejada;1044
Norte;Distribuidora;2018;Conforme;7;171;Boas Práticas de Fabricação;Baixa;Médio;0;Adequação de Processo;Pendente;Medicamentos;Não;594;Planejada;1009
Norte;Indústria de Cosméticos;2018;Não Conforme;4;110;Armazenamento;Média;Médio;3;Requalificação de Pessoal;Em Progresso;Medicamentos;Não;620;Planejada;1008
Nordeste;Clínica;2018;Não Conforme;3;295;Rotulagem;Média;Pequeno;3;Reformulação de Produtos;Pendente;Alimentos;Sim;579;Não Planejada;1095
Nordeste;Indústria de Saneantes;2021;Não Conforme;4;10;Boas Práticas de Fabricação;Média;Pequeno;2;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;243;Não Planejada;1031
Centro-Oeste;Clínica;2023;Não Conforme;5;202;Condições Sanitárias;Alta;Pequeno;3;Reformulação de Produtos;Em Progresso;Alimentos;Sim;306;Planejada;1001
Norte;Laboratório;2022;Não Conforme;5;257;Condições Sanitárias;Alta;Pequeno;4;Reformulação de Produtos;Pendente;Alimentos;Sim;136;Não Planejada;1020
Sudeste;Hospital;2022;Conforme;4;262;Rotulagem;Média;Grande;1;Adequação de Processo;Pendente;Cosméticos;Não;159;Não Planejada;1002
Sudeste;Farmácia;2021;Não Conforme;5;181;Boas Práticas de Fabricação;Alta;Médio;3;Reformulação de Produtos;Pendente;Cosméticos;Sim;152;Não Planejada;1097
Norte;Distribuidora;2019;Conforme;8;66;Rotulagem;Baixa;Grande;2;Reformulação de Produtos;Concluída;Medicamentos;Não;456;Não Planejada;1092
Norte;Indústria de Cosméticos;2021;Conforme;4;294;Condições Sanitárias;Alta;Médio;1;Melhoria de Infraestrutura;Pendente;Medicamentos;Não;554;Não Planejada;1083
Norte;Farmácia;2023;Conforme;5;161;Armazenamento;Média;Grande;4;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;334;Planejada;1022
Nordeste;Indústria de Cosméticos;2018;Não Conforme;3;67;Armazenamento;Alta;Pequeno;4;Reformulação de Produtos;Em Progresso;Medicamentos;Não;463;Planejada;1036
Nordeste;Distribuidora;2021;Não Conforme;2;100;Registro de Produtos;Baixa;Grande;4;Reformulação de Produtos;Em Progresso;Saneantes;Sim;469;Planejada;1071
Nordeste;Clínica;2018;Não Conforme;5;77;Condições Sanitárias;Média;Pequeno;2;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;26;Planejada;1035
Sul;Farmácia;2023;Não Conforme;4;35;Condições Sanitárias;Média;Pequeno;1;Adequação de Processo;Concluída;Cosméticos;Não;166;Não Planejada;1013
Sudeste;Laboratório;2023;Não Conforme;3;45;Rotulagem;Média;Grande;4;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;366;Planejada;1086
Sudeste;Hospital;2020;Não Conforme;4;150;Registro de Produtos;Média;Médio;3;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;439;Não Planejada;1090
Centro-Oeste;Laboratório;2018;Não Conforme;6;68;Registro de Produtos;Alta;Grande;1;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;97;Planejada;1014
Nordeste;Hospital;2022;Não Conforme;0;254;Boas Práticas de Fabricação;Baixa;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Alimentos;Não;394;Não Planejada;1034
Sul;Indústria de Saneantes;2021;Conforme;0;17;Rotulagem;Alta;Pequeno;1;Melhoria de Infraestrutura;Em Progresso;Saneantes;Não;467;Não Planejada;1021
Sul;Indústria de Cosméticos;2023;Não Conforme;0;261;Armazenamento;Alta;Médio;3;Adequação de Processo;Concluída;Medicamentos;Não;267;Planejada;1046
Sudeste;Farmácia;2018;Conforme;1;213;Boas Práticas de Fabricação;Média;Médio;0;Requalificação de Pessoal;Concluída;Saneantes;Sim;123;Não Planejada;1035
Nordeste;Farmácia;2019;Conforme;8;313;Registro de Produtos;Baixa;Médio;4;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;535;Não Planejada;1014
Centro-Oeste;Indústria de Saneantes;2020;Conforme;4;256;Armazenamento;Alta;Pequeno;3;Melhoria de Infraestrutura;Pendente;Saneantes;Sim;198;Planejada;1095
Nordeste;Hospital;2019;Conforme;8;216;Condições Sanitárias;Baixa;Grande;2;Adequação de Processo;Pendente;Alimentos;Não;41;Planejada;1081
Norte;Clínica;2023;Não Conforme;4;351;Rotulagem;Baixa;Médio;4;Requalificação de Pessoal;Concluída;Cosméticos;Não;121;Não Planejada;1057
Nordeste;Distribuidora;2019;Não Conforme;6;286;Registro de Produtos;Baixa;Pequeno;0;Reformulação de Produtos;Concluída;Saneantes;Sim;425;Planejada;1030
Norte;Laboratório;2019;Conforme;5;7;Condições Sanitárias;Baixa;Grande;3;Adequação de Processo;Pendente;Medicamentos;Sim;4;Não Planejada;1040
